Address,Price,Price Type,Latitude,Longitude,Beds,Baths,Date
"1303 Maryhill Road, Maryhill","1,999,900",For Sale,43.5347154,-80.3906211,,,11 Mar 25
"188 Clifton Downs Road, Hamilton","699,999",For Sale,43.2288316,-79.9115405,1,1,11 Mar 25
"704 - 179 George Street, Ottawa","2,200",For Rent,45.42908,-75.6878198,4,2,11 Mar 25
"21 Perkins Street, Ottawa","1,499,000",For Sale,45.412382,-75.7107525,1,1,11 Mar 25
"1 - 469 Wilbrod Street, Ottawa","1,800",For Rent,45.4298921,-75.6754553,4,1,11 Mar 25
"610 - 575 Byron Avenue, Ottawa","989,000",For Sale,45.3900125,-75.7569273,1,0,11 Mar 25
"16 Hillsdale Court, Dundas","799,900",For Sale,43.2570222,-79.9769738,2,2,11 Mar 25
"2111 - 1955 Alpha Way, Burnaby","659,900",For Sale,49.2668104,-123.0006967,3,2,11 Mar 25
"1083 Cornerstone Street, Calgary","699,999",For Sale,51.1627829,-113.9427874,1,1,11 Mar 25
"301 - 100 Cortile Private, Ottawa","629,900",For Sale,45.2860057,-75.6707898,2,2,11 Mar 25
"Sword Street, Toronto","1,688,888",For Sale,43.6643361,-79.3606933,2,3,11 Mar 25
"6 Fairhill Crescent, Ottawa","729,000",For Sale,45.3269882,-75.76694239999999,3,2,11 Mar 25
"215 Ridge Road, Cambridge","1,099,000",For Sale,43.4219893,-80.3397992,4,3,11 Mar 25
"594 Eiderdown Place, Mississauga","899,900",For Sale,43.581534,-79.649934,4,5,11 Mar 25
"1705 - 1785 Frobisher Lane, Ottawa","308,000",For Sale,45.4013492,-75.665472,1,1,11 Mar 25
"603 - 15 Albright Road, Hamilton","339,900",For Sale,43.21586,-79.78576,2,1,11 Mar 25
"1410 - 362 The East Mall Street, Toronto","644,000",For Sale,43.6426012,-79.5588071,2,2,11 Mar 25
"3703 - 125 Village Green Square, Toronto","3,300",For Rent,43.7775104,-79.2812428,2,2,11 Mar 25
"19 Farnham Crescent, Ottawa","1,498,000",For Sale,45.4535386,-75.6574943,3,2,11 Mar 25
"45 Chasing Grove, Ottawa","585,000",For Sale,45.1891802,-75.8503558,3,4,10 Mar 25
"410 Crockett Street, Hamilton","718,000",For Sale,43.2350301,-79.8373344,4,2,10 Mar 25
"3211 Oak Street, Innisfil","1,299,000",For Sale,44.3632638,-79.54491929999999,6,4,10 Mar 25
"656 Parade Drive, Ottawa","878,000",For Sale,45.246573,-75.9041238,3,3,10 Mar 25
"158 Wheat Lane, Kitchener","479,900",For Sale,43.37995000000001,-80.48109,2,2,10 Mar 25
"28409 116 Avenue, Maple Ridge","2,788,000",For Sale,49.2130343,-122.5430559,,,10 Mar 25
"1680 Robson Street, Vancouver","149,900",For Sale,49.2899861,-123.1337179,,,10 Mar 25
"3098 Keystone Drive, Duncan","799,000",For Sale,48.7874485,-123.7326115,3,2,10 Mar 25
"18 - 2358 Ranger Lane, Port Coquitlam","999,999",For Sale,49.256691,-122.727769,3,3,10 Mar 25
"305 - 10201 108 Avenue, Grande Prairie","1,159",For Rent,55.1777242,-118.8017777,1,1,10 Mar 25
"45 Red Embers Common, Calgary","769,000",For Sale,51.167288,-113.9497225,4,4,10 Mar 25
"211 - 1000 Citadel Meadow Point, Calgary","295,000",For Sale,51.1472597,-114.1871738,2,1,10 Mar 25
"112 - 946 Jenkins Avenue, Langford","826,000",For Sale,48.4414609,-123.5140285,3,3,10 Mar 25
"615 Kings Road, North Vancouver","2,940,000",For Sale,49.3371427,-123.0600323,6,5,10 Mar 25
"187 Wharncliffe Road, London","499,000",For Sale,42.9711608,-81.2621154,1,2,10 Mar 25
"348 William Street, Tay","347,500",For Sale,44.7450999,-79.7789469,,,10 Mar 25
"216 Payne Crescent, Aurora","999,990",For Sale,44.0274337,-79.4366046,2,1,10 Mar 25
"168 Chancellor Drive, Vaughan","1,849,000",For Sale,43.79757490000001,-79.5559234,3,4,10 Mar 25
"120 Robert Perry Street, North Grenville","2,600",For Rent,45.0172515,-75.6630358,4,5,10 Mar 25
"563 Nisbet Court, Mississauga","4,500",For Rent,43.5937602,-79.6640982,3,4,10 Mar 25
"205 Park Row, Woodstock","579,000",For Sale,43.1248045,-80.76721409999999,4,4,10 Mar 25
"10 - 199 Hillcrest Avenue, Mississauga","958,000",For Sale,43.5790285,-79.6253782,3,3,10 Mar 25
"231 Daniel Avenue, Ottawa","2,598,000",For Sale,45.4010222,-75.7459647,4,5,10 Mar 25
"702 - 2019 Carling Avenue, Ottawa","395,000",For Sale,45.3734261,-75.76435409999999,1,2,10 Mar 25
"137 Sydenham Wells , Barrie","398,880",For Sale,44.40954199999999,-79.6474913,1,1,10 Mar 25
"203 - 1180 Ohio Street, Ottawa","312,900",For Sale,45.38429,-75.6732306,2,1,10 Mar 25
"193 Shepody Circle, Ottawa","749,900",For Sale,45.3181604,-75.6022837,2,2,10 Mar 25
"44 Sycamore Drive, Ottawa","1,100,000",For Sale,45.3146289,-75.82132,5,4,10 Mar 25
"740 Cartographe Street, Ottawa","959,900",For Sale,45.4988784,-75.46979859999999,3,3,10 Mar 25
"201 - 400 Mcleod Street, Ottawa","599,900",For Sale,45.4108702,-75.693755,2,1,10 Mar 25
"204 - 10006 83 Avenue, Edmonton","319,000",For Sale,53.5192195,-113.4891876,2,2,10 Mar 25
"2220 Des Grands Champs Way, Ottawa","949,900",For Sale,45.4361562,-75.5310705,4,3,10 Mar 25
"141 Lakeshore Drive, Rural Camrose County","1,690,000",For Sale,52.863976,-112.6405789,4,4,10 Mar 25
"116 Jubilee Road, Millet","339,900",For Sale,53.0888138,-113.4811792,4,2,10 Mar 25
"10562 62 Avenue, Edmonton","482,750",For Sale,53.4991352,-113.5032352,5,2,10 Mar 25
"3372 Fleming Street, Vancouver","2,099,000",For Sale,49.2547557,-123.0706491,5,4,10 Mar 25
"365 Greenwood Avenue, Ottawa","1,189,000",For Sale,45.3833551,-75.7493899,3,4,10 Mar 25
"19 Churchlea Mews, Orillia","649,000",For Sale,44.6042181,-79.3991317,3,3,10 Mar 25
"873 Dunlevie Avenue, Ottawa","1,289,900",For Sale,45.3724558,-75.7593713,6,2,10 Mar 25
"72 Delong Drive, Ottawa","2,399,900",For Sale,45.4587814,-75.6123096,6,4,10 Mar 25
"386 Billings Avenue, Ottawa","1,250,000",For Sale,45.394692,-75.6554039,5,4,10 Mar 25
"50 Frances Colbert Avenue, Ottawa","1,159,000",For Sale,45.347591,-76.0328981,4,3,10 Mar 25
"545 Tulip Tree Way, Ottawa","725,000",For Sale,45.43384,-75.51431869999999,3,3,10 Mar 25
"317 - 316 Bruyere Street, Ottawa","2,390",For Rent,45.4353051,-75.6880465,2,2,10 Mar 25
"527 - 3900 Confederation Parkway, Mississauga","549,500",For Sale,43.5847051,-79.6450186,1,1,10 Mar 25
"1603 - 190 Borough Drive, Toronto","2,350",For Rent,43.7728475,-79.2540199,1,1,10 Mar 25
"4401 - 87 Peter Street, Toronto","2,200",For Rent,43.64691639999999,-79.392499,1,1,10 Mar 25
"9B - 310 Central Park Drive, Ottawa","424,900",For Sale,45.36766,-75.7333699,1,1,10 Mar 25
"1673 Locksley Lane, Ottawa","399,900",For Sale,45.4498114,-75.59685429999999,2,1,10 Mar 25
"29 Chasing Grove, Ottawa","2,550",For Rent,45.1888042,-75.84989949999999,2,2,10 Mar 25
"115 Ste-cecile Street, Ottawa","799,900",For Sale,45.4411601,-75.6663993,3,3,10 Mar 25
"2216 - 200 Community , Okotoks","275,000",For Sale,50.7255163,-113.9749127,3,3,10 Mar 25
"255 Colbeck Drive, Welland","1,250,000",For Sale,42.983746,-79.2758987,1,1,10 Mar 25
"49 Esther Crescent, Thorold","2,700",For Rent,43.0392599,-79.2337268,3,4,10 Mar 25
"214 Waneta Drive, Oakville","2,999,000",For Sale,43.4357917,-79.68519020000001,4,5,10 Mar 25
"6098 Rowers Crescent, Mississauga","1,249,999",For Sale,43.6072695,-79.7031539,4,4,10 Mar 25
"23 Abourview Drive, Vaughan","1,388,000",For Sale,43.8346027,-79.4962245,4,4,10 Mar 25
"484 Laval Drive, Oshawa","649,900",For Sale,43.881139,-78.875964,3,2,10 Mar 25
"1742 Lane Street, Pickering","1,249,000",For Sale,43.9768859,-79.1301088,3,2,10 Mar 25
"2361 Lakeshore Road, Oakville","2,300,000",For Sale,43.3969284,-79.7094765,,,10 Mar 25
"706 - 2450 Old Bronte Road, Oakville","510,000",For Sale,43.433592,-79.7741212,1,1,10 Mar 25
"2005 - 2220 Lake Shore Boulevard, Toronto","649,900",For Sale,43.6228596,-79.4831828,1,1,10 Mar 25
"731 2 Street, Brooks","275,000",For Sale,50.5754273,-111.8914991,,,10 Mar 25
"161 Valleymede Drive, Richmond Hill","1,888,000",For Sale,43.8473999,-79.39955979999999,5,5,10 Mar 25
"Bsmt B - 83 Marion Crescent, Markham","1,800",For Rent,43.8816932,-79.2863608,2,2,10 Mar 25
"1706 - 17 Zorra Street, Toronto","699,000",For Sale,43.621263,-79.52130679999999,2,2,10 Mar 25
"#1916 - 509 Beecroft Road, Toronto","2,650",For Rent,43.7788678,-79.417745,1,1,10 Mar 25
"1507 - 10388 105 Street, Edmonton","295,000",For Sale,53.5458224,-113.5013211,2,2,10 Mar 25
"110 - 230 Lister Kaye Crescent, Swift Current","268,000",For Sale,50.3008007,-107.8018413,2,2,10 Mar 25
"7 - 123 Seventh Street, New Westminster","639,900",For Sale,49.20633,-122.91301,2,1,10 Mar 25
"Bsmt A - 83 Marion Crescent, Markham","1,000",For Rent,43.8816932,-79.2863608,1,1,10 Mar 25
"49 Cork Street, Guelph","119,000",For Sale,43.5433471,-80.2534137,,,10 Mar 25
"31 - 3635 Southbridge Avenue, London","655,999",For Sale,42.92875,-81.26988,3,3,10 Mar 25
"2007 - 38 Andre De Grasse Street, Markham","2,900",For Rent,43.8509347,-79.3229285,2,2,10 Mar 25
"1709 - 188 Cumberland Street, Toronto","2,300",For Rent,43.6697824,-79.3942951,1,1,10 Mar 25
"708 - 1410 1 Street, Calgary","269,900",For Sale,51.03925599999999,-114.0656666,1,1,10 Mar 25
"1007 - 38 Honeycrisp Crescent, Vaughan","560,000",For Sale,43.78888740000001,-79.527154,1,1,10 Mar 25
"2109 - 4085 Parkside Village Drive, Mississauga","2,750",For Rent,43.5860805,-79.648766,2,2,10 Mar 25
"1007 - 38 Honeycrisp Crescent, Vaughan","2,350",For Rent,43.78888740000001,-79.527154,1,1,10 Mar 25
"306 - 68 Grangeway Avenue, Toronto","2,800",For Rent,43.773685,-79.2496044,2,2,10 Mar 25
"Lph505 - 5168 Yonge Street, Toronto","2,800",For Rent,43.769699,-79.4139206,1,1,10 Mar 25
"206 - 2504 109 Street, Edmonton","349,500",For Sale,53.4557096,-113.5105828,2,2,10 Mar 25
"26 Heron Point, Spruce Grove","789,000",For Sale,53.5622105,-113.9406192,3,3,10 Mar 25
"65 Mcleod Place, Edmonton","228,000",For Sale,53.6122092,-113.4233755,3,2,10 Mar 25
"16 Prairie Sun Court, Swift Current","40,000",For Sale,50.3164002,-107.7482391,3,1,10 Mar 25
"1001 - 960 Teron Road, Ottawa","349,900",For Sale,45.32365,-75.8929101,2,2,10 Mar 25
"101 - 2344 Atkins Avenue, Port Clements","630,000",For Sale,53.6887137,-132.1847553,2,1,10 Mar 25
"40 Briar Path Lane, Markham","2,200",For Rent,43.886039,-79.2936036,2,2,10 Mar 25
"510 - 369 Sorauren Avenue, Toronto","868,900",For Sale,43.6499764,-79.44393939999999,4,2,10 Mar 25
"2202 - 138 Downes Street, Toronto","2,600",For Rent,43.6446392,-79.3713451,2,2,10 Mar 25
"2813 - 108 Peter Street, Toronto","3,350",For Rent,43.6476915,-79.3933074,1,2,10 Mar 25
"1112 Front Street, Ucluelet","798,000",For Sale,48.9593102,-125.4316478,2,2,10 Mar 25
"2425 Chokecherry Link, Edmonton","745,000",For Sale,53.4100183,-113.4583919,2,1,10 Mar 25
"1602 - 938 Smithe Street, Vancouver","998,000",For Sale,49.2816822,-123.1239141,4,4,10 Mar 25
"44 - 3295 Sunnyside Road, Anmore","1,649,000",For Sale,49.3246627,-122.8565791,5,4,10 Mar 25
"32 Perry Street, St. Catharines","654,000",For Sale,43.1736536,-79.2518326,3,3,10 Mar 25
"39 Beardmore Crescent, Halton Hills","1,039,000",For Sale,43.6364854,-80.0253936,3,3,10 Mar 25
"112 Maravista Drive, Ottawa","3,300",For Rent,45.270264,-75.77635389999999,4,3,10 Mar 25
"4995 Wellington Rd 125 , Erin","1,599,000",For Sale,43.6570134,-80.077665,,,10 Mar 25
"1412 - 7950 Bathurst Street, Vaughan","2,300",For Rent,43.815095,-79.4516677,1,1,10 Mar 25
"1108 - 8323 Kennedy Road, Markham","2,800",For Rent,43.8560068,-79.3046172,2,2,10 Mar 25
"263 Aquila Way, Calgary","789,900",For Sale,51.18500599999999,-114.172839,6,4,10 Mar 25
"11121 108 Avenue, Fairview","69,900",For Sale,56.07241699999999,-118.388462,1,1,10 Mar 25
"3121 - 4641 128 Avenue, Calgary","315,000",For Sale,51.1645274,-113.9559571,2,2,10 Mar 25
"B406 - 8447 202 Street, Langley","699,000",For Sale,49.1570033,-122.6621482,2,2,10 Mar 25
"308 - 3815 Rowland Avenue, Saanich","775,000",For Sale,48.4607454,-123.3797135,2,2,10 Mar 25
"833 Byng Road, Roberts Creek","1,395,000",For Sale,49.41328000000001,-123.59668,3,2,10 Mar 25
"3215 Parkerhill Road, Mississauga","1,249,000",For Sale,43.5796577,-79.627511,3,3,10 Mar 25
"3 Blain Drive, Hamilton","1,299,000",For Sale,44.8145076,-63.75092679999999,4,4,10 Mar 25
"4995 Hwy 125 , Erin","1,599,000",For Sale,43.7758018,-80.0687097,,,10 Mar 25
"2079 The Collegeway Road, Mississauga","3,400",For Rent,43.5452094,-79.67887209999999,3,3,10 Mar 25
"1168 - 23 Cox Boulevard, Markham","3,200",For Rent,43.8543161,-79.3403901,2,2,10 Mar 25
"2611 - 66 Forest Manor Road, Toronto","2,600",For Rent,43.7743973,-79.345901,1,1,10 Mar 25
"S316 - 8 Olympic Garden Drive, Toronto","2,600",For Rent,43.785036,-79.4160022,1,2,10 Mar 25
"1161 - 8328 Capstan Way, Richmond","5,600,000",For Sale,49.1878359,-123.1303668,,,10 Mar 25
"15765 106a Avenue, Edmonton","489,000",For Sale,53.5503873,-113.5949141,3,3,10 Mar 25
"11391 Confidential , Vancouver","499,000",For Sale,49.2827291,-123.1207375,,,10 Mar 25
"135 - 11300 No. 5 Road, Richmond","2,289,000",For Sale,49.1302578,-123.0915904,,,10 Mar 25
"7 - 311 Blake Boulevard, Ottawa","2,295",For Rent,45.4342643,-75.6563038,3,1,10 Mar 25
"125 Sandpiper Lane, Calgary","499,000",For Sale,51.13692899999999,-114.0916805,3,1,10 Mar 25
"26555 Twp 481 , Calmar","166,900",For Sale,53.2650494,-113.8055076,3,2,10 Mar 25
"4523 45 Avenue Close, Rocky Mountain House","249,900",For Sale,52.3682251,-114.9116278,,,10 Mar 25
"26 Varsplain Place, Calgary","899,900",For Sale,51.0867882,-114.1475495,4,2,10 Mar 25
"606 - 5380 Oben Street, Vancouver","629,900",For Sale,49.2350637,-123.0264593,2,3,10 Mar 25
"Basement - 49 Pine Hollow Crescent, Vaughan","2,300",For Rent,43.8632752,-79.5388322,1,1,10 Mar 25
"1516 Garrison Road, Fort Erie","699,999",For Sale,42.9049405,-78.9718857,2,2,10 Mar 25
"412 - 1440 Clarriage Court, Milton","2,575",For Rent,43.4927666,-79.84381850000001,2,2,10 Mar 25
"1306 - 55 Bremner Boulevard, Toronto","560,000",For Sale,43.642884,-79.3804767,1,1,10 Mar 25
"3011 - 12 York Street, Toronto","2,500",For Rent,43.64179559999999,-79.38225659999999,1,1,10 Mar 25
"2904 - 327 King Street, Toronto","2,300",For Rent,43.6461919,-79.3910605,1,1,10 Mar 25
"608 Broadway Avenue, Moosomin","229,000",For Sale,50.1465284,-101.6701676,4,2,10 Mar 25
"434 Coopers Drive, Airdrie","675,000",For Sale,51.2617907,-114.0119706,3,3,10 Mar 25
"706 - 1025 5 Avenue, Calgary","400,000",For Sale,51.0489344,-114.0852686,1,1,10 Mar 25
"176 Hampshire Grove, Calgary","1,249,900",For Sale,51.14258659999999,-114.1625796,4,4,10 Mar 25
"1009 - 135 James Street, Hamilton","269,900",For Sale,43.2603837,-79.86761369999999,1,1,10 Mar 25
"43 Bertram Street, Toronto","899,999",For Sale,43.6953819,-79.47364519999999,2,2,10 Mar 25
"1061 Harcroft Court, Oakville","3,750",For Rent,43.4811305,-79.6911446,3,3,10 Mar 25
"81 Laird Drive, Lindsay Twp","1,189,000",For Sale,44.410704,-78.7433324,3,3,10 Mar 25
"18 Dove Crescent, Barrie","999,888",For Sale,44.3554616,-79.70725209999999,2,3,10 Mar 25
"37 Drainie Street, Vaughan","4,800",For Rent,43.8069159,-79.632092,4,3,10 Mar 25
"2211 - 15 Wellington Street South Street, Kitchener","2,050",For Sale,43.4534753,-80.5030666,1,1,10 Mar 25
"68 Bickerton Crescent, Toronto","1,498,000",For Sale,43.7907956,-79.3320521,5,4,10 Mar 25
"369 Macintosh Drive, Stoney Creek","889,000",For Sale,43.2234406,-79.71247819999999,4,2,10 Mar 25
"39 Honey Street, Cambridge","829,900",For Sale,43.3563714,-80.2810614,3,3,10 Mar 25
"75 King Street, Waterloo","125,000",For Sale,43.4636511,-80.523355,,,10 Mar 25
"1805 - 470 Front Street, Toronto","1,275,000",For Sale,43.6426557,-79.39608439999999,2,2,10 Mar 25
"508 - 81 Wellesley Street, Toronto","2,850",For Rent,43.6655855,-79.3801555,2,2,10 Mar 25
"15 Chalfont Road, London","844,900",For Sale,42.9637296,-81.32729429999999,5,4,10 Mar 25
"128 Joyal Way, St. Albert","634,900",For Sale,53.65909929999999,-113.643326,4,3,10 Mar 25
"18 Staten Way, Ottawa","950,000",For Sale,45.3665891,-75.7396856,4,3,10 Mar 25
"167 Santolina Street, Ottawa","3,100",For Rent,45.2822995,-75.9247522,4,4,10 Mar 25
"1087 - 87 Nelson Street, Vancouver","3,250",For Rent,49.2746415,-123.1151479,1,1,10 Mar 25
"26555 Twp 481 , Calmar","209,900",For Sale,53.2650494,-113.8055076,,,10 Mar 25
"434 Starlight Way, Rural Pincher Creek No. 9, M.d. Of","282,000",For Sale,49.3212501,-114.4163471,6,4,10 Mar 25
"309 - 128 2nd Street, Calgary","839,000",For Sale,51.0531236,-114.0672932,1,1,10 Mar 25
"727 - 38362 Buckley Avenue, Squamish","884,000",For Sale,49.7041924,-123.149791,2,2,10 Mar 25
"1261 Manitou Way, Milton","3,400",For Rent,43.5147536,-79.8205636,4,3,10 Mar 25
"9 - 138 Bonnington Drive, Brampton","934,000",For Sale,43.6676576,-79.83532989999999,3,3,10 Mar 25
"41 Neill Avenue, Whitby","3,150",For Rent,43.90894100000001,-78.91251679999999,3,3,10 Mar 25
"34 West Wareside Road, Toronto","1,389,000",For Sale,43.6484202,-79.5809316,3,3,10 Mar 25
"3624 Urban Rise, Langford","1,320,000",For Sale,48.4122886,-123.5215225,6,4,10 Mar 25
"1783 Crown Isle Boulevard, Courtenay","1,399,900",For Sale,49.7172226,-124.9505172,5,4,10 Mar 25
"3000 Keystone Drive, Duncan","1,650,000",For Sale,48.7885763,-123.7270168,,,10 Mar 25
"G3 - 810 Kyle Court, Brockville","169,900",For Sale,44.60990570000001,-75.7176285,2,1,10 Mar 25
"308 - 5100 Winston Churchill Boulevard, Mississauga","2,750",For Rent,43.5512299,-79.72102000000001,3,3,10 Mar 25
"695 Sunshine Terrace, Langford","915,000",For Sale,48.4612668,-123.497177,2,2,10 Mar 25
"1207 - 55 Ann O'reilly Road, Toronto","2,500",For Rent,43.77358,-79.3295308,3,2,10 Mar 25
"241 Shore Lane, Bowen Island","1,100,000",For Sale,49.3445467,-123.3562006,1,1,10 Mar 25
"36 James Street, Hamilton","399,000",For Sale,43.2578663,-79.86833690000002,,,10 Mar 25
"101 - 2055 Ingledew Street, Prince George","329,900",For Sale,53.9052129,-122.7415372,1,1,10 Mar 25
"16723 81 Avenue, Edmonton","449,900",For Sale,53.5148182,-113.610766,1,1,10 Mar 25
"3306 Essex Avenue, Cadillac","89,000",For Sale,43.8704448,-79.4230942,5,2,10 Mar 25
"2723 Quince Street, Prince George","324,900",For Sale,53.89573,-122.75409,5,3,10 Mar 25
"4906 Kitwanga Drive, 108 Mile Ranch","629,900",For Sale,51.7297446,-121.359788,5,2,10 Mar 25
"1280 14th Avenue, Valemount","225,000",For Sale,52.8240823,-119.2662498,4,3,10 Mar 25
"3509 42 Avenue, Beaumont","649,900",For Sale,53.34557359999999,-113.3939777,3,2,10 Mar 25
"8410 228a Street, Edmonton","629,900",For Sale,53.5188847,-113.7108239,4,4,10 Mar 25
"225 - 345 Dougall Road N Road, Kelowna","225,800",For Sale,49.89252219999999,-119.3924618,4,4,10 Mar 25
"7154 Hazelton Street, Powell River","519,900",For Sale,49.830415,-124.5139829,0,1,10 Mar 25
"7 - 345 Tribeca Private, Ottawa","455,000",For Sale,45.2897462,-75.7275834,3,1,10 Mar 25
